2026-06-07 14:52:35 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=45s464ms788µs715ns).
2026-06-07 14:52:36 [http-nio-8085-exec-1] INFO  c.r.s.AlertController - Received alert webhook from Alertmanager
2026-06-07 14:52:37 [http-nio-8085-exec-1] INFO  c.r.serviceregistryapi.AlertService - Processing alert: {status=resolved, labels={alertname=ServiceDown, instance=job:8082, job=job, service=job, severity=critical}, annotations={description=Service job (instance: job:8082) has been down for more than 30 seconds, runbook_url=http://localhost:3001/alerts, summary=Service job is DOWN}, startsAt=2026-06-04T16:28:24.839Z, endsAt=2026-06-04T16:32:24.839Z, generatorURL=http://1ca0b3091e9d:9090/graph?g0.expr=up+%3D%3D+0&g0.tab=1, fingerprint=d4e60b5e2e7bc65b}
2026-06-07 14:52:38 [http-nio-8085-exec-1] INFO  c.r.serviceregistryapi.AlertService - Resolved alert: ServiceDown - job
2026-06-07 14:52:38 [http-nio-8085-exec-1] INFO  c.r.serviceregistryapi.AlertService - Processed alert: ServiceDown - resolved
2026-06-07 14:53:17 [http-nio-8085-exec-8] INFO  c.r.s.AlertController - Received alert webhook from Alertmanager
2026-06-07 14:53:17 [http-nio-8085-exec-8] INFO  c.r.serviceregistryapi.AlertService - Processing alert: {status=firing, labels={alertname=ServiceDown, instance=job:8082, job=job, service=job, severity=critical}, annotations={description=Service job (instance: job:8082) has been down for more than 30 seconds, runbook_url=http://localhost:3001/alerts, summary=Service job is DOWN}, startsAt=2026-06-07T14:53:09.839Z, endsAt=0001-01-01T00:00:00Z, generatorURL=http://1ca0b3091e9d:9090/graph?g0.expr=up+%3D%3D+0&g0.tab=1, fingerprint=d4e60b5e2e7bc65b}
2026-06-07 14:53:17 [http-nio-8085-exec-8] INFO  c.r.serviceregistryapi.AlertService - Created new alert: ServiceDown - job (critical)
2026-06-07 14:53:17 [http-nio-8085-exec-8] INFO  c.r.serviceregistryapi.AlertService - Processed alert: ServiceDown - firing
2026-06-07 14:53:47 [http-nio-8085-exec-7] INFO  c.r.s.AlertController - Received alert webhook from Alertmanager
2026-06-07 14:53:47 [http-nio-8085-exec-7] INFO  c.r.serviceregistryapi.AlertService - Processing alert: {status=firing, labels={alertname=PrometheusTargetDown, severity=critical}, annotations={description=One or more monitored services are not responding, runbook_url=http://localhost:3001/alerts, summary=1 Prometheus target(s) are down}, startsAt=2026-06-07T14:53:39.839Z, endsAt=0001-01-01T00:00:00Z, generatorURL=http://1ca0b3091e9d:9090/graph?g0.expr=count%28up+%3D%3D+0%29+%3E+0&g0.tab=1, fingerprint=02399326d2297fbd}
2026-06-07 14:53:47 [http-nio-8085-exec-7] INFO  c.r.serviceregistryapi.AlertService - Processed alert: PrometheusTargetDown - firing
2026-06-07 14:53:47 [http-nio-8085-exec-10] INFO  c.r.s.AlertController - Received alert webhook from Alertmanager
2026-06-07 14:53:47 [http-nio-8085-exec-10] INFO  c.r.serviceregistryapi.AlertService - Processing alert: {status=firing, labels={alertname=ServiceDegraded, instance=job:8082, job=job, service=job, severity=warning}, annotations={description=Service job is unreachable or restarting frequently. Possible early failure signal., status=warning, summary=Service job might be unstable}, startsAt=2026-06-07T14:53:10.542Z, endsAt=0001-01-01T00:00:00Z, generatorURL=http://1ca0b3091e9d:9090/graph?g0.expr=up+%3D%3D+0&g0.tab=1, fingerprint=bfb505d598f1b5d4}
2026-06-07 14:53:47 [http-nio-8085-exec-10] INFO  c.r.serviceregistryapi.AlertService - Created new alert: ServiceDegraded - job (warning)
2026-06-07 14:53:47 [http-nio-8085-exec-10] INFO  c.r.serviceregistryapi.AlertService - Processed alert: ServiceDegraded - firing
2026-06-07 14:58:17 [http-nio-8085-exec-9] INFO  c.r.s.AlertController - Received alert webhook from Alertmanager
2026-06-07 14:58:17 [http-nio-8085-exec-9] INFO  c.r.serviceregistryapi.AlertService - Processing alert: {status=firing, labels={alertname=ServiceDown, instance=job:8082, job=job, service=job, severity=critical}, annotations={description=Service job (instance: job:8082) has been down for more than 30 seconds, runbook_url=http://localhost:3001/alerts, summary=Service job is DOWN}, startsAt=2026-06-07T14:53:09.839Z, endsAt=0001-01-01T00:00:00Z, generatorURL=http://1ca0b3091e9d:9090/graph?g0.expr=up+%3D%3D+0&g0.tab=1, fingerprint=d4e60b5e2e7bc65b}
2026-06-07 14:58:17 [http-nio-8085-exec-9] INFO  c.r.serviceregistryapi.AlertService - Processed alert: ServiceDown - firing
